,name_file,class
0,OIP-3iimTpj9CBqD5av9AMWBIwHaHa.jpeg,scoiattolo
1,OIP-RM2fdVJe3PwCEjFM32uS2QHaE7.jpeg,scoiattolo
2,OIP-KKkATm5U8o9Ay1zo6xLziAAAAA.jpeg,scoiattolo
3,OIP-IXg185PBsUiy2gDXcNmNZwHaE7.jpeg,scoiattolo
4,OIP-4DTKjkfg4Az1SgVGgw0vPQHaE8.jpeg,scoiattolo
5,OIP-aon1m7Lw7gg1iQpf32cJFgHaLH.jpeg,scoiattolo
6,OIP-omgB06Mu2mgfDp9pYf9RzwHaE7.jpeg,scoiattolo
7,OIP-15KJNiOIM9ocsns6Ik3w4AHaFj.jpeg,scoiattolo
8,OIP-WvDm7zHBeyp-YDhROGQKxwHaEK.jpeg,scoiattolo
9,OIP-VxOo16Sez8kva0axKaihAAHaFE.jpeg,scoiattolo
10,OIP-oTsFiYjmLUYt9vpAGF9BugHaJx.jpeg,scoiattolo
11,OIP-tL1_XF3X_cD_SOBQUUhboQHaFP.jpeg,scoiattolo
12,OIP-KLjYBcMoHxsWpoLNB_Ud9QHaE4.jpeg,scoiattolo
13,OIP-TrCJKDpeqMcxkaZq7d0FrAHaGQ.jpeg,scoiattolo
14,OIP-42QFlOtVQeW3ectq52vungHaE8.jpeg,scoiattolo
15,OIP-C-HfojUxyigJg9L_XRw0XgHaFW.jpeg,scoiattolo
16,OIP-M8JOEUgSg0TcQtsrA9z3cQHaEK.jpeg,scoiattolo
17,OIP-XhudNdQM_JbcZSMjwJfjkgHaFP.jpeg,scoiattolo
18,OIP-SZIVFryE1euKM5Ii0-VEyQHaFa.jpeg,scoiattolo
19,OIP-TYYgz-eedmD-eFV_D-8sOAHaFj.jpeg,scoiattolo
20,OIP-4yuAjRYyWANlOx1RuLe7cwHaFj.jpeg,scoiattolo
21,OIP-Tdb0JYARtIeMroK3agFr8QHaE8.jpeg,scoiattolo
22,OIP-Ta-9FXG6Fc-5T0E16tlocwHaF8.jpeg,scoiattolo
23,OIP-cV28rZyBT80XoQ3jLu-eJQHaE6.jpeg,scoiattolo
24,OIP-3v3UXBLsrE4aKOcaIxm9VwHaE8.jpeg,scoiattolo
25,OIP-xAP1so5BgYcLxRIUhVYUAgHaFW.jpeg,scoiattolo
26,OIP-hM0NpXD050WUt5FZHL2UPAHaE8.jpeg,scoiattolo
27,OIP-H8PL4gjG71f2DeN6zgghEQHaJQ.jpeg,scoiattolo
28,OIP-UpBYTMo4ucl5H6xwijnF6wHaFj.jpeg,scoiattolo
29,OIP-tAeJR_At_Y82kuxuO4tmfwHaFL.jpeg,scoiattolo
30,OIP-ARdIQsFZn8tHDqvpdDQwpgHaFj.jpeg,scoiattolo
31,OIP-NeiU-c6hiAEI9TnBqKz3RgHaFc.jpeg,scoiattolo
32,OIP-wb4cZTASzAO5PEVt0K4tkAHaFL.jpeg,scoiattolo
33,OIP-vC--3y9etGAFPZdZ6Z1OpAHaJ4.jpeg,scoiattolo
34,OIP-faALlbULbQHYkDDyUAcRgwHaHc.jpeg,scoiattolo
35,OIP-f8UxpeEoroBDV9zFl5GVGgHaE8.jpeg,scoiattolo
36,OIP-fqhecssFJqN1uoyh9hdMpAAAAA.jpeg,scoiattolo
37,OIP-5NLt6ysuPlqpfRbuDoeX7AHaFj.jpeg,scoiattolo
38,OIP-tr7wlv6WKHFgxtWIbXKr3wHaFt.jpeg,scoiattolo
39,OIP-dFGbYMzWlocsfoVfh4suyQAAAA.jpeg,scoiattolo
40,OIP-VrxSHZdBkvbfild-nrHmSAHaE8.jpeg,scoiattolo
41,OIP-BzdStM8HlNOng6CSxMG1lAHaFj.jpeg,scoiattolo
42,OIP--BewaL4z8PUx9v6947smEwHaFj.jpeg,scoiattolo
43,OIP-4211HsSIHF0JUoX56IQW_AHaE7.jpeg,scoiattolo
44,OIP-hFufU6ran1IenWg85kooRQHaG0.jpeg,scoiattolo
45,OIP-z4SqJD-ixyK2xXSMP3oZQAHaE6.jpeg,scoiattolo
46,OIP-74sD_IjGYXucEibCgRwexAHaGL.jpeg,scoiattolo
47,OIP-WeM0qygp2MDfCe0zAcHVSgHaE7.jpeg,scoiattolo
48,OIP-Dnzd5Zi2pMoZ5xrFNVPeKgHaHa.jpeg,scoiattolo
49,OIP-Ww809T7H6CHiIzJ1I9yMcwHaE8.jpeg,scoiattolo
50,OIP-9rZNmXEZR0M46G3GbH5NHQHaFj.jpeg,scoiattolo
51,OIP-aTx20NuLabMpKcvXKKphgwHaEM.jpeg,scoiattolo
52,OIP-bRGeXqK3ZJEtjZligsuscAHaGh.jpeg,scoiattolo
